sentence	degree
I can’t even count to ten in French: un, deux, trois, quatre, cinq, six, sept… Aarrgghh! Sorry, I’ve got a huit allergy.	5
I carry around months and months of receipts. I need a mugger who can file my VAT returns.	5
I did a gig in a fertility clinic. I got a standing ovulation.	5
I don’t know if you’ve ever fallen asleep whilst eating a plate of cauliflower, and then woken up, and thought you were in the clouds.	5
I don’t know why I should have to learn algebra… I’m never likely to go there.	5
I don’t like Born Again Christians. I’m not too keen on Born-the-first-time Christians.	5
I don’t trust the press. Sometimes they wear badges that say ‘press’, but if you press those badges they just fall over all surprised.	5
I get claustrophobic easily and I don’t get why aeroplane toilets don’t f***ing have windows. I mean it’s not as if anyone can f***ing see in. Unless of course you are the most determined pervert in the world.	5
I got a great review this morning. Prompt and efficient payer. eBay.	5
I got recognised today in Dixons. A member of staff came up to me and said ‘hey you’re that mad bloke off the telly’. I went ‘that’s me’, and he went ‘no, you’re that mad bloke… off the tele!'	5
I had a dream last night that I was cutting carrots with the Grim Reaper – dicing with death.	5
I hate all those weathermen, too, who tell you that rain is bad weather. There’s no such thing as bad weather, just the wrong clothing, so get yourself a sexy raincoat and live a little.	5
I hate sitting in traffic, because I always get run over.	5
I just like the idea of the Queen sitting at the tennis going, ‘I’m a stamp! I’m a coin!'	5
I know a Scottish guy who loved his wife so much that he told her he loved her one day.	5
I left home very late, when I was 32. My mum was very ill, it got to the point where she couldn’t look after herself. She couldn’t cook, she couldn’t wash, she couldn’t clean. It was at that point I thought ‘well there isn’t anything in it for me’, so I left.	5
I lived in a flat with three girls until they found out.	5
I lost my job as a cricket commentator for saying: ‘I don’t want to bore you with the details’.	5
I love face-painting. It’s a lot of fun. Although you do need the person’s permission.	5
I love video games. I enjoy saying that because half of the room are looking at me, going, ‘Ah Jesus, you’re 38.’ It’s less embarrassing if I say I masturbate to hardcore pornography.	5
I met this bloke with a didgeridoo and he was playing Dancing Queen on it. I thought, ‘that’s Abba-riginal.'	5
I once did a gig in a zoo. I got babooned off.	5
I once travelled to Adelaide on Emu Airways. I was 5,000 ft up in the air when someone pointed out to me that emus can’t fly	5
I rang up British Telecom and said: ‘I want to report a nuisance caller.’ He said: ‘Not you again.'	5
I rang up my local swimming baths. I said: ‘Is that the local swimming baths?’ He said: ‘It depends where you’re calling from.'	5
I really like driverless cars. In fact the other day I saw a whole car park of them.	5
I recently bought the box set of Doctor Who and watched it back to back. Unfortunately, I wasn’t the one facing the TV!	5
I remember the last thing my Nan said to me before she died. ‘What are you doing here with that hammer?’	5
I saw this advert in a window that said: ‘Television for sale, £1, volume stuck on full.’ I thought, ‘I can’t turn that down.'	5
I saw this bloke chatting-up a cheetah and I thought: ‘He’s trying to pull a fast one.'	5
I set out to be a cross between Lenny Bruce and Robert the Bruce.	5
I think the English are bipolar. ‘We’re the greatest, no we’re terrible’ – that’s a constant English struggle. Crime is down, there’s little poverty – yet it’s always the worst time to have lived here.	5
I used to be a folk singer but I was dreadful. I had a voice like a goose farting in the fog.	5
I used to have Mad Cow’s disease, but I’m alright nooooooooow.	5
I used to think sticks and stones could break my bones but words could never hurt me – until I fell into a printing press.	5
I was at sea the other day and loads of meat floated past. It was a bit choppy.	5
I was brought up as a catholic. I’ve got A-level guilt.	5
I was getting into my car, and this bloke says to me ‘Can you give me a lift?’ I said ‘Sure, you look great, the world’s your oyster, go for it.'	5
I was stealing things in the supermarket today while balanced on the shoulders of vampires. I was charged with shoplifting on three counts.	5
"I was walking along the other day and on the pavement I saw a white baby ghost; however, come to think of it, it may have been a tissue."	5
I went down the local supermarket. I said: ‘I want to make a complaint – this vinegar’s got lumps in it.’ He said: ‘Those are pickled onions.'	5
I went out with this girl the other night, she wore this real slinky number. She looked great going down the stairs.	5
I went to see a handwriting expert last week, she could tell I was laid-back, gullible and well-off just from a signature on a cheque.	5
I worry about ridiculous things, you know, how does a guy who drives a snowplough get to work in the morning… that can keep me awake for days.	5
I’ll tell you what I love doing more than anything – trying to pack myself in a small suitcase. I can hardly contain myself.	5
I’m a big fan of the Mars Bar Diet. You don’t eat the Mars bar, you stick it up your arse and let a rottweiler chase you home.	5
I’m a huge film star, but you have to hurry to the movies because I usually die in the first 15 f***ing minutes. I’m the only guy I know who died in a f***ing Muppet Movie.	5
I’m actually pale blue: it takes me a week of sunbathing to turn white.	5
I’m against hunting. In fact, I’m a hunt saboteur. I go out the night before and shoot the fox.	5
I’m going to donate my body to science, and keep my dad happy – he always wanted me to go to medical school.	5
I’m in a relationship at the moment. Sorry girls… it’s going to have to be your place.	5
I’m so lazy I’ve got a smoke alarm with a snooze button.	5
I’m very English really. I even ordered a book on the internet: ‘How to Have Absolutely Nothing to Do with Your Neighbours’. Unfortunately, I was out when it was delivered.	5
I’ve always wanted to go to Switzerland to see what the army does with those wee red knives.	5
I’ve always wanted to kidnap the ex-professional tennis player Pat Cash, so after his family pays the ransom I can ring them up and ask them ‘do you want cash back?'	5
I’ve decided to sell my Hoover – it was just collecting dust.	5
I’ve got Parkinson’s disease. I wish he’d f***ing kept it.	5
I’ve just been on a once-in-a-lifetime holiday. I’ll tell you what, never again.	5
I’ve just finished my book, I wrote it on penguins. Come to think of it, paper would have been better.	5
I’ve spent the afternoon re-arranging the furniture in Dracula’s house. I was doing a bit of Fang-Shui.	5
I’ve wanted to have a baby for about five years, but she wants one forever.	5
If Jesus was a Jew, how come he has a Mexican first name?	5
If she changes the story now she’ll lose face quicker than the A-Team in a maze.	5
If we were truly created by God, then why do we still occasionally bite the insides of our own mouths?	5
If women are so bloody perfect at multitasking, how come they can’t have a headache and sex at the same time?	5
If you’re depressed and called Morgan, spend the first half of the day in Germany for some positive affirmation.	5
In Mexico, everything on the menu is the same dish. The only difference is the way it’s folded.	5
It seems to me that Islam and Christianity and Judaism all have the same god, and he’s telling them all different things.	5
Life is a waste of time, and time is a waste of life. Get wasted all the time, and you’ll have the time of your life!	5
Marriage is a wonderful invention: then again, so is a bicycle repair kit.	5
Most of my relatives are police marksmen, apart from my granddad who was a bank robber. He died recently, surrounded by his family.	5
My advice to you if you want to lose a bit of weight: don’t eat anything that comes in a bucket. Buckets are the kitchen utensils of the farmyard.	5
My aunt Marge has been so ill for so long that we’ve started to call her ‘I can’t believe she’s not better’.	5
My Dad? Kind of bloke could read out a telephone directory and it’d be funny. To be fair, he used to do it with his c**k out.	5
My definition of an intellectual is someone who can listen to the William Tell Overture without thinking of the Lone Ranger.	5
My grandfather invented the cold air balloon but it never really took off.	5
My grandfather is always saying that in the old days people could leave their back doors open. Which is probably why his submarine sank.	5
My iPod holds 3,000 albums. I own, like, 90 albums. My iPod sits at home, sullen, frustrated, and underused, like a wife who gave up her career and the kids turned out to be s***e.	5
My mother made us eat all sorts of vitamins and supplements, until one day I nearly choked on part of The Sunday Times.	5
My Nan had an amazing way with words. I remember I rang her up when my Granddad had gone in this home – very sad. I said how is he getting on in this home? She said ‘oh he’s like a fish out of water’, I said ‘is he finding it hard to adjust?’ She said ‘no he’s dead’.	5
My other grandfather was a peeping tom. He used to drill holes in the floor and spy on the people in the flat below. He died recently, but I like thinking about him up there somewhere, looking down on us.	5
My parents said they had to make a lot of sacrifices to pay for my education, because they were both druids.	5
My parents used to take me to the pet department and tell me it was a zoo.	5
My star sign is Pyrex. I was a test-tube baby.	5
My wife – it’s difficult to say what she does. She sells seashells on the seashore.	5
My wife, she’s carrying our first child. He’s eight, the lazy little…	5
Never trust a man who, when left alone in a room with a tea cosy, doesn’t try it on.	5
Nostalgia is heroin for old people.	5
Old ladies in wheelchairs with blankets over their legs? I don’t think so… retired mermaids.	5
Old MacDonald was dyslexic IEIEO.	5
One of my heroes growing up was George Best. No no – I liked Zippy the best.	5
One sex therapist claims that the most effective way to arouse your man is to spend 10 minutes licking his ears. Personally, I think its bollocks.	5
Overall, I’d say my career as a photographer has been a bit of a blur.	5
People were saying there’s not enough food and too many people. Cannibalism is the obvious answer.	5
People who ask, ‘can I ask you a question?’ Didn’t really give me a choice there, did you sunshine?	5
People who point at their wrist while asking for the time. I know where my watch is pal, where the f*** is yours? Do I point at my crotch when I ask where the toilet is?	5
Recently I went on a ballooning holiday – I put on four stone!	5
Recently I’ve been attending meetings of Eavesdroppers Anonymous – not that they know!	5
Recently. I had bird flu. But it’s all relative isn’t it? If I had rabies and you offered me bird flu, I’d bite your hand off!	5
"Science knows it doesn’t know everything; otherwise, it’d stop. But just because science doesn’t know everything doesn’t mean you can fill in the gaps with whatever fairy tale most appeals to you."	5
Scotland has the only football team in the world that does a lap of disgrace.	5
Scottish-Americans tell you that if you want to identify tartans, it’s easy – you simply look under the kilt, and if it’s a quarter-pounder, you know it’s a McDonald’s.	5
She’s great my Nan. She used to say things like: ‘here’s five pounds – don’t tell your mother,’ I’d say ‘why not?’ She’d say ‘it’s hers’.	5
So have you heard about the oyster who went to a club and pulled a mussel?	5
Some people say that firefighters deserve more money, but apparently a poll was taken and they all fell through a hole in the floor.	5
"Sometimes I wonder what my grandfather would think of what I do; he spent his whole life in the kebab business, was buried with all his equipment. Probably turning in his grave."	5
The advantages of easy origami are two-fold.	5
The Day Two pain of the gym! When you go back to the gym and you’re in agony, and every bit of you is in pain. And the gym guy, you go up to him, you go ‘Why am I in so much pain?’ and he goes, ‘That’s because you’re using muscles you haven’t used in years.’ And you look at him and go ‘Why the f*** are we wasting our time with those muscles?'	5
The great thing about Glasgow is that if there’s a nuclear attack it’ll look exactly the same afterwards.	5
The pollen count, now that’s a difficult job. Especially if you’ve got hay fever.	5
The school had a big problem with drugs… especially Class A.	5
The worst job I ever had was as a forensicologist for the United Nations. One time I thought I’d come across the mass grave of a thousand snowmen, but it turns out it was just a field of carrots.	5
There are two seasons in Scotland: June and Winter.	5
This policeman came up to me with a pencil and a piece of very thin paper. He said, ‘I want you to trace someone for me.'	5
To the man on crutches dressed in camouflage who stole my wallet: you can hide but you can’t run.	5
Two blind fellows walk into a wall.	5
Uncle Ben has died. No more Mr Rice Guy.	5
We had a bite to eat around the corner. Horse and Hounds – I won’t be ordering that again.	5
We live in an uncaring society. I was in the park the other day watching an old man feed the birds, and after a while I thought to myself: ‘I wonder how long he’s been dead?'	5
We’ve had to get a live-in nanny, ‘cos that dead one wasn’t working out.	5
What always staggers me is that when people blow their noses, they always look into their hankies to see what came out. What do they expect to find?	5
When I was 12, we went from Glasgow to Aberdeen on a school trip. It was called fresh air fortnight.	5
When I was in America, I really got into the culture. I went into the shop and the guy said ‘Have a nice day’ and I didn’t. So I sued him.	5
When people say ‘it’s always the last place you look’. Of course it is. Why would you keep looking after you’ve found it?	5
When people say ‘life is short’. What the f***? Life is the longest damn thing anyone ever f***ing does! What can you do that’s longer?”	5
When people say while watching a film ‘did you see that? No tosser, I paid ten quid to come to the cinema and stare at the f***ing floor.	5
When something is ‘new and improved!’ which is it? If it’s new, then there has never been anything before it. If it’s an improvement, then there must have been something before it.	5
When the boys at school found out I had a potentially fatal peanut allergy, they used to hold me up against a wall and play Russian Roulette with a bag of Revels!	5
When you are waiting for the bus and someone asks, ‘Has the bus come yet?’ If the bus came would I be standing here, knobhead?	5
Whenever I wear something expensive it looks stolen.	5
Who discovered we could get milk from cows, and what did he think he was doing at the time?	5
Why do people say ‘Oh you want to have your cake and eat it too?’ Dead right! What good is a cake if you can’t eat it?	5
Why on earth do people say things like ‘my eyes aren’t what they used to be.’ So what did they used to be? Ears? Wellington boots?	5
Years ago I used to supply Filofaxes for the mafia. I was involved in very organised crime.	5
You give a man a fish and you feed him for a day. But you teach a man to fish – saved yourself a fish haven’t you?	5
You know the animal that kills the most people in the world? The Hepatitis Bee.	5
You know what I want to see just once: a suicide bomber instructor. ‘Right lads, pay attention, I’m only going to show you this once.'	5
You know, somebody actually complimented me on my driving today. They left a little note on the windscreen, it said ‘Parking Fine.’ So that was nice.	5
You’ve made a happy man, very old.	5
I got told by the doctor that I was infertile and I couldn’t have children. Three weeks after he told me that, my girlfriend was pregnant. Who’s the daddy!	5
I said to the gym instructor: ‘Can you teach me to do the splits?’ He said: ‘How flexible are you?’ I said: ‘I can’t make Tuesdays.'	5
"On the Irish legal system] “There are three states of legality in Irish law. There is all this stuff here under ‘That’s grand’; then it moves into ‘Ah, now, don’t push it’; and finally to ‘Right! You’re taking the p***.’ And that’s where the police sweep in."	5
One of my earliest memories is seeing my mother’s face through the oven window. As we played hide and seek and she said: ‘you’re getting warmer’.	5
So I phoned up the spiritual leader of Tibet, and he sent me a large goat with a long neck. Turns out I phoned Dial-a-Llama.	5
Tim: “You know what they say. No man is an island.	5
